엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 실무경험 년수(년),창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,이자보상배율,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부
0,5.0,6,81.538,2.564,135.511,-2.21,7.616,5.0,0.0,26.667,1.0,3.0,1
0,15.0,5,50.0,0.0,68.579,0.267,96.244,0.1,0.0,50.0,1.0,1.0,0
0,9.0,6,62.791,11.628,63.426,6.249,322.222,5.0,0.0,32.558,3.0,1.0,0
0,6.0,10,66.667,0.0,33.053,17.797,-118.182,0.8,0.0,0.0,3.0,3.0,0
0,10.0,6,61.765,4.044,115.139,2.9,260.155,0.06,0.01,23.162,1.0,3.0,0
0,10.0,6,75.0,5.0,116.437,1.546,219.847,0.1,0.0,20.0,1.0,4.0,0
0,10.0,9,60.0,10.0,95.985,12.052,1433.333,10.0,30.0,12.0,3.0,3.0,0
0,10.0,5,66.667,16.667,105.55,4.029,315.789,0.6,0.01,66.0,3.0,1.0,0
0,12.0,4,66.667,22.222,51.518,6.63,46.154,0.5,0.01,30.0,3.0,3.0,0
0,10.0,5,25.0,50.0,90.081,10.115,541.935,0.5,0.01,50.0,3.0,1.0,0
0,10.0,6,75.217,5.217,102.55,-3.016,-34.408,0.01,0.0,25.0,1.0,1.0,0
0,15.0,6,55.319,4.255,96.943,1.513,133.639,0.1,0.01,30.0,1.0,2.0,0
0,12.0,4,66.667,22.222,80.851,5.981,433.333,0.5,0.01,33.0,3.0,1.0,0
0,10.0,6,69.591,7.602,95.196,0.408,122.459,0.01,0.0,40.0,1.0,2.0,0
0,15.0,6,64.815,5.556,85.162,0.9,149.699,0.1,0.01,24.0,1.0,3.0,0
0,6.0,5,9.375,6.25,93.749,-14.457,152.074,2.0,0.0,82.0,1.0,3.0,0
0,5.0,6,50.0,14.286,73.911,5.046,724.0,5.0,0.0,42.857,1.0,1.0,0
0,14.0,6,79.167,8.333,120.394,2.045,221.053,7.0,0.0,26.0,1.0,2.0,0
0,0.0,5,0.0,13.571,122.553,-5.395,-75.882,5.0,0.0,58.0,1.0,3.0,0
0,15.0,6,42.857,23.81,117.878,7.508,575.862,0.1,0.0,35.0,3.0,2.0,0
0,5.0,6,6.667,62.222,138.316,-1.792,-291.776,12.0,0.0,83.0,1.0,3.0,0
0,15.0,6,64.286,14.286,60.081,5.063,280.597,0.01,0.0,40.0,3.0,4.0,0
0,15.0,6,64.286,14.286,70.492,5.025,253.846,0.01,0.0,40.0,3.0,4.0,0
0,7.0,6,68.108,3.243,128.455,0.35,126.403,5.0,0.0,50.0,3.0,2.0,0
0,6.0,5,30.0,16.429,39.244,20.195,147600.0,10.0,0.01,53.571,3.0,3.0,1
0,20.0,6,57.143,4.286,164.637,-5.531,-382.948,18.0,0.01,30.0,1.0,3.0,0
0,20.0,6,74.286,5.0,156.669,-4.151,-330.743,18.0,0.01,36.0,1.0,3.0,0
0,20.0,6,74.797,5.691,206.004,0.038,32.716,18.0,0.0,36.0,1.0,3.0,0
0,20.0,6,67.961,5.825,189.582,0.988,123.711,20.0,0.01,19.417,1.0,2.0,0
0,15.0,6,66.667,33.333,390.122,0.865,302.222,1.0,0.0,100.0,3.0,1.0,0
0,7.0,5,36.842,5.263,101.884,2.921,224.215,10.0,0.0,28.07,1.0,7.0,0
0,5.0,6,74.359,0.0,135.796,5.33,474.684,3.0,0.0,10.256,1.0,3.0,0
0,0.0,10,83.553,3.947,103.719,3.322,310.087,2.0,0.01,18.421,1.0,5.0,0
0,0.0,9,63.636,9.091,45.064,7.001,339.535,5.0,0.0,28.0,3.0,7.0,0
0,0.0,6,58.333,0.0,22.9,-48.575,-1659.091,5.0,0.01,8.333,3.0,2.0,0
0,20.0,5,60.0,0.0,88.692,1.288,350.0,5.0,0.0,50.0,3.0,1.0,0
0,0.0,10,46.715,6.204,96.125,4.145,384.39,41.0,0.0,50.0,1.0,7.0,0
0,0.0,9,63.636,9.091,41.792,1.591,-353.571,5.0,0.0,22.0,3.0,3.0,0
0,10.0,6,38.667,16.0,103.757,0.047,-219.512,10.0,0.0,8.0,3.0,2.0,0
0,0.0,9,52.174,17.391,31.775,-22.068,-1704.545,5.0,0.0,22.0,3.0,7.0,0
0,10.0,6,56.0,8.0,120.403,0.949,124.116,10.0,0.0,10.0,3.0,2.0,0
0,10.0,6,6.78,0.0,135.884,1.111,133.861,0.01,0.0,10.0,1.0,2.0,0
0,10.0,6,38.667,16.0,115.778,2.777,119.048,10.0,0.0,8.0,3.0,2.0,0
0,3.0,10,45.522,6.343,96.534,2.971,303.324,41.0,0.0,50.0,1.0,8.0,0
0,4.0,6,37.5,50.0,92.089,3.169,123.864,5.0,0.0,40.0,3.0,3.0,0
0,4.0,6,33.333,33.333,215.512,1.615,154.945,5.0,0.0,28.0,3.0,7.0,0
0,4.0,6,22.222,44.444,105.815,2.112,130.128,5.0,0.0,33.333,3.0,3.0,0
0,5.0,6,55.714,5.714,112.82,13.834,2026.562,2.0,0.0,25.714,1.0,4.0,0
0,15.0,6,49.398,2.41,203.712,2.667,612.403,3.0,0.0,47.5,1.0,5.0,0
0,15.0,9,64.375,1.25,25.109,6.746,376.0,5.0,0.0,10.0,1.0,4.0,0
0,15.0,9,65.556,1.111,79.716,2.315,216.049,5.0,0.0,17.1,1.0,3.0,0
0,20.0,9,76.471,0.0,112.377,1.535,229.412,2.0,0.0,10.0,1.0,4.0,0
1,15.0,6,40.588,2.353,112.418,0.765,194.286,3.0,0.0,46.0,1.0,5.0,1
0,15.0,6,48.544,1.456,133.143,0.468,233.887,3.0,0.0,22.33,1.0,3.0,0
0,0.0,6,83.333,0.0,145.545,0.053,616.667,1.0,0.0,33.0,1.0,2.0,0
0,5.0,6,39.326,0.0,179.575,8.357,1419.469,12.0,0.0,80.0,1.0,2.0,0
0,5.0,5,14.058,34.505,123.022,2.841,187.695,10.0,1.0,77.0,1.0,2.0,1
0,0.0,6,56.25,8.333,235.144,5.658,871.123,3.0,0.0,34.0,3.0,3.0,0
0,15.0,6,71.25,8.125,59.586,16.789,1286.38,0.1,0.0,20.0,1.0,4.0,0
0,15.0,6,70.677,8.271,96.945,12.302,1251.575,0.1,0.0,20.0,1.0,5.0,0
0,10.0,10,38.462,12.821,65.325,4.034,245.806,70.0,0.0,15.385,3.0,7.0,0
0,30.0,6,79.73,4.054,137.092,3.204,507.143,80.0,5.0,30.0,3.0,2.0,0
0,10.0,5,82.143,4.464,103.397,-2.933,17.371,2.0,0.2,13.393,3.0,3.0,0
0,30.0,6,78.378,8.108,156.734,9.565,1750.435,80.0,5.0,30.0,3.0,2.0,0
0,15.0,6,80.769,4.615,114.655,3.19,442.222,15.0,0.01,15.0,1.0,7.0,0
0,10.0,5,56.471,5.882,75.212,2.64,169.079,10.0,2.0,40.0,3.0,2.0,0
0,10.0,5,68.889,11.111,113.393,6.129,373.874,10.0,2.0,26.0,3.0,3.0,0
0,30.0,6,80.0,4.0,193.259,7.505,1838.144,60.0,10.0,12.0,3.0,4.0,0
0,10.0,5,61.111,9.259,94.727,5.555,325.0,10.0,2.0,26.0,3.0,4.0,0
0,10.0,5,62.5,0.0,49.201,-1.856,-535.294,0.01,0.01,66.0,3.0,1.0,0
0,10.0,6,60.0,17.5,127.017,10.552,2186.538,5.0,0.0,32.5,1.0,2.0,0
0,0.0,6,20.0,30.0,77.988,1.594,429.293,60.0,0.0,45.0,1.0,3.0,0
0,0.0,5,50.0,0.0,374.342,5.975,337.5,5.0,0.0,83.0,1.0,2.0,0
0,18.0,6,58.824,17.647,98.744,18.213,6481.818,10.0,0.0,14.706,1.0,3.0,0
0,9.5,6,53.191,14.894,199.247,3.631,887.5,30.0,0.0,48.936,1.0,2.0,0
0,12.0,10,33.333,11.111,374.766,4.988,2850.0,6.75,0.0,11.111,3.0,3.0,0
0,10.0,6,75.0,4.167,90.089,3.11,350.467,2.0,0.0,25.0,1.0,5.0,0
0,11.0,6,59.375,5.312,103.331,-3.969,75.706,0.8,0.0,29.0,3.0,1.0,0
0,11.0,6,81.25,6.25,117.578,2.147,150.554,0.8,0.0,30.0,3.0,1.0,0
0,0.0,5,62.5,0.0,160.586,13.164,48.864,0.0,0.0,100.0,1.0,5.0,0
0,0.0,6,52.83,11.321,61.273,0.481,133.006,5.0,0.3,26.415,1.0,2.0,0
0,0.0,9,72.727,5.455,60.818,0.733,118.941,5.0,0.3,40.0,1.0,3.0,0
0,15.0,6,79.545,0.0,166.009,0.641,119.82,10.0,1.0,20.0,3.0,1.0,0
0,0.0,9,57.143,10.204,66.13,0.398,149.77,5.0,0.3,46.0,1.0,3.0,0
0,15.0,6,76.19,11.905,172.013,0.896,149.254,10.0,0.0,14.0,3.0,1.0,0
0,5.0,1,53.846,38.462,46.291,7.607,290.741,0.1,0.0,36.0,1.0,4.0,0
0,0.0,9,61.818,9.091,107.572,2.7,255.811,5.0,10.0,46.0,1.0,2.0,0
0,15.0,6,75.676,10.811,181.895,1.427,190.604,10.0,1.0,20.0,3.0,1.0,0
0,3.0,6,53.333,20.0,123.394,8.367,683.721,1.0,0.0,40.0,1.0,3.0,0
0,5.0,6,50.0,9.091,90.307,-2.769,37.36,7.0,0.0,22.727,1.0,3.0,0
0,4.0,10,0.0,83.721,67.349,16.381,1081.457,5.0,0.0,69.0,3.0,2.0,0
0,0.0,6,62.567,6.952,80.735,11.418,147600.0,10.0,5.0,77.0,3.0,2.0,0
0,0.0,5,29.63,29.63,73.117,1.283,108.284,5.0,0.0,55.556,3.0,3.0,0
0,8.0,6,66.667,0.0,143.823,9.975,1177.632,10.0,0.0,16.667,1.0,4.0,0
0,7.0,6,38.462,15.385,81.466,11.925,147600.0,1.0,0.2,33.077,1.0,3.0,0
0,16.0,6,76.744,6.977,100.163,-21.583,-507.543,0.3,0.01,22.093,3.0,5.0,0
0,5.0,6,50.867,2.89,98.379,10.747,1030.159,40.0,1.0,44.0,3.0,4.0,0
0,7.0,6,45.522,18.657,108.66,12.726,147600.0,10.0,0.0,20.0,1.0,3.0,0
0,15.0,9,62.5,12.5,301.741,3.54,1726.316,0.4,0.0,40.0,3.0,4.0,0
0,5.0,6,54.913,2.89,112.063,4.159,599.265,1.0,0.01,45.0,3.0,4.0,0
0,16.0,6,45.333,12.0,75.799,-1.311,13.453,0.3,0.0,30.0,3.0,3.0,0
0,0.0,9,75.0,12.5,44.605,2.655,115.0,30.0,0.0,25.0,1.0,1.0,0
0,0.0,10,40.0,33.333,137.829,1.589,177.083,9.0,0.2,46.667,3.0,3.0,0
0,8.0,6,47.619,23.81,55.288,3.692,196.825,5.0,0.01,59.0,1.0,3.0,0
0,15.0,9,40.0,40.0,145.114,4.613,972.0,0.3,0.0,50.0,3.0,5.0,0
0,15.0,9,50.0,7.143,638.93,6.006,3918.182,0.2,0.0,40.0,3.0,7.0,0
0,7.0,6,57.576,15.152,74.366,11.514,147600.0,10.0,0.0,25.0,1.0,3.0,0
0,7.0,6,48.75,15.625,102.039,13.672,147600.0,10.0,0.0,25.0,1.0,3.0,0
0,8.0,6,52.632,21.053,60.266,2.853,205.769,5.0,0.1,59.0,1.0,3.0,0
0,10.0,6,67.5,7.5,166.462,4.452,595.238,3.0,0.0,30.0,1.0,3.0,0
0,0.0,6,61.111,13.333,85.712,10.016,760.932,15.0,0.01,18.889,1.0,5.0,0
0,14.0,6,24.138,6.897,247.934,-1.228,-95.221,10.0,0.0,20.69,1.0,3.0,1
0,3.0,6,55.319,2.128,259.705,-1.128,-411.656,40.0,0.0,87.0,1.0,8.0,0
0,6.0,6,7.784,75.449,257.948,-3.725,-431.379,2.0,0.0,50.0,1.0,5.0,0
0,0.0,6,61.429,8.571,92.682,4.647,362.132,15.0,0.0,36.0,1.0,1.0,0
0,0.0,6,4.149,19.917,184.039,2.754,716.0,15.0,0.0,93.0,1.0,3.0,1
0,4.0,4,71.784,3.32,113.958,2.7,298.778,10.0,0.01,17.427,3.0,3.0,0
0,5.0,6,65.385,3.846,70.923,-3.823,286.965,20.0,0.0,22.115,1.0,2.0,0
0,0.0,5,0.0,62.5,222.578,6.919,8466.667,1.0,0.0,87.129,1.0,2.0,0
0,4.0,5,28.125,31.25,41.576,-22.307,-1659.843,5.0,0.01,50.0,3.0,5.0,0
0,4.0,6,33.333,33.333,135.491,0.329,92.308,1.0,0.0,66.667,1.0,4.0,0
0,2.0,6,4.167,5.556,128.58,0.763,155.981,12.0,0.0,86.111,3.0,3.0,0
0,10.0,6,27.273,27.273,30.798,6.802,130.0,30.0,0.0,27.273,1.0,8.0,0
0,12.0,4,14.815,51.852,99.253,16.323,1374.419,4.0,0.0,75.0,1.0,5.0,0
0,5.0,6,40.0,20.0,201.483,3.865,508.333,2.0,0.1,53.333,1.0,1.0,0
