벤처확인 유형,엔젤투자자 혹은 액셀러레이터 투자 경험여부,창업 당시 창업자 최종학력,창업 직전 근무지,부서별_인력구성(생산),부서별_인력구성(RnD),총자산회전율,순이익률,ROE,주력제품 국내 시장점유율(퍼센트),학력별 인력구성비(대졸),창업 당시 목표시장,해외수출 및 진출과정 애로사항,벤처캐피털(투자조합포함) 투자 경험여부,연구개발관련전담부서보유여부
3,0,3,6,81.538,2.564,135.511,-2.21,-36.709,5.0,26.667,1.0,3.0,1,1.0
2,0,3,5,50.0,0.0,68.579,0.267,0.745,0.1,50.0,1.0,1.0,0,3.0
2,0,3,6,62.791,11.628,63.426,6.249,11.658,5.0,32.558,3.0,1.0,0,1.0
2,0,5,10,66.667,0.0,33.053,17.797,24.706,0.8,0.0,3.0,3.0,0,1.0
2,0,3,6,61.765,4.044,115.139,2.9,10.215,0.06,23.162,1.0,3.0,0,1.0
2,0,2,6,75.0,5.0,116.437,1.546,8.945,0.1,20.0,1.0,4.0,0,1.0
2,0,3,9,60.0,10.0,95.985,12.052,28.238,10.0,12.0,3.0,3.0,0,1.0
2,0,2,5,66.667,16.667,105.55,4.029,13.099,0.6,66.0,3.0,1.0,0,2.0
2,0,3,4,66.667,22.222,51.518,6.63,8.696,0.5,30.0,3.0,3.0,0,2.0
2,0,2,5,25.0,50.0,90.081,10.115,33.062,0.5,50.0,3.0,1.0,0,1.0
2,0,3,6,75.217,5.217,102.55,-3.016,-13.035,0.01,25.0,1.0,1.0,0,1.0
2,0,3,6,55.319,4.255,96.943,1.513,4.908,0.1,30.0,1.0,2.0,0,1.0
2,0,3,4,66.667,22.222,80.851,5.981,10.776,0.5,33.0,3.0,1.0,0,4.0
2,0,3,6,69.591,7.602,95.196,0.408,1.457,0.01,40.0,1.0,2.0,0,4.0
2,0,3,6,64.815,5.556,85.162,0.9,2.711,0.1,24.0,1.0,3.0,0,1.0
2,0,5,5,9.375,6.25,93.749,-14.457,-52.104,2.0,82.0,1.0,3.0,0,2.0
1,0,2,6,50.0,14.286,73.911,5.046,13.348,5.0,42.857,1.0,1.0,0,1.0
2,0,3,6,79.167,8.333,120.394,2.045,8.6,7.0,26.0,1.0,2.0,0,1.0
2,0,3,5,0.0,13.571,122.553,-5.395,-55.582,5.0,58.0,1.0,3.0,0,1.0
2,0,3,6,42.857,23.81,117.878,7.508,36.455,0.1,35.0,3.0,2.0,0,1.0
2,0,3,6,6.667,62.222,138.316,-1.792,-7.552,12.0,83.0,1.0,3.0,0,1.0
2,0,3,6,64.286,14.286,60.081,5.063,15.173,0.01,40.0,3.0,4.0,0,1.0
2,0,3,6,64.286,14.286,70.492,5.025,17.036,0.01,40.0,3.0,4.0,0,1.0
2,0,3,6,68.108,3.243,128.455,0.35,2.571,5.0,50.0,3.0,2.0,0,1.0
4,0,2,5,30.0,16.429,39.244,20.195,8.157,10.0,53.571,3.0,3.0,1,1.0
2,0,3,6,57.143,4.286,164.637,-5.531,-54.384,18.0,30.0,1.0,3.0,0,1.0
2,0,3,6,74.286,5.0,156.669,-4.151,-26.34,18.0,36.0,1.0,3.0,0,1.0
2,0,3,6,74.797,5.691,206.004,0.038,0.233,18.0,36.0,1.0,3.0,0,1.0
2,0,3,6,67.961,5.825,189.582,0.988,8.147,20.0,19.417,1.0,2.0,0,1.0
1,0,3,6,66.667,33.333,390.122,0.865,12.533,1.0,100.0,3.0,1.0,0,2.0
2,0,3,5,36.842,5.263,101.884,2.921,16.083,10.0,28.07,1.0,7.0,0,1.0
2,0,5,6,74.359,0.0,135.796,5.33,20.113,3.0,10.256,1.0,3.0,0,4.0
2,0,3,10,83.553,3.947,103.719,3.322,10.519,2.0,18.421,1.0,5.0,0,1.0
2,0,5,9,63.636,9.091,45.064,7.001,4.772,5.0,28.0,3.0,7.0,0,1.0
1,0,5,6,58.333,0.0,22.9,-48.575,-24.546,5.0,8.333,3.0,2.0,0,1.0
2,0,2,5,60.0,0.0,88.692,1.288,4.556,5.0,50.0,3.0,1.0,0,4.0
3,0,3,10,46.715,6.204,96.125,4.145,12.962,41.0,50.0,1.0,7.0,0,1.0
2,0,5,9,63.636,9.091,41.792,1.591,0.938,5.0,22.0,3.0,3.0,0,1.0
2,0,5,6,38.667,16.0,103.757,0.047,0.202,10.0,8.0,3.0,2.0,0,1.0
2,0,5,9,52.174,17.391,31.775,-22.068,-11.212,5.0,22.0,3.0,7.0,0,1.0
2,0,5,6,56.0,8.0,120.403,0.949,4.047,10.0,10.0,3.0,2.0,0,1.0
2,0,3,6,6.78,0.0,135.884,1.111,8.398,0.01,10.0,1.0,2.0,0,4.0
2,0,5,6,38.667,16.0,115.778,2.777,19.416,10.0,8.0,3.0,2.0,0,1.0
2,0,3,10,45.522,6.343,96.534,2.971,8.841,41.0,50.0,1.0,8.0,0,1.0
2,0,1,6,37.5,50.0,92.089,3.169,10.689,5.0,40.0,3.0,3.0,0,1.0
2,0,1,6,33.333,33.333,215.512,1.615,10.404,5.0,28.0,3.0,7.0,0,1.0
2,0,1,6,22.222,44.444,105.815,2.112,9.822,5.0,33.333,3.0,3.0,0,1.0
2,0,3,6,55.714,5.714,112.82,13.834,53.833,2.0,25.714,1.0,4.0,0,1.0
2,0,3,6,49.398,2.41,203.712,2.667,13.094,3.0,47.5,1.0,5.0,0,3.0
2,0,4,9,64.375,1.25,25.109,6.746,9.92,5.0,10.0,1.0,4.0,0,1.0
2,0,4,9,65.556,1.111,79.716,2.315,12.646,5.0,17.1,1.0,3.0,0,3.0
2,0,5,9,76.471,0.0,112.377,1.535,4.514,2.0,10.0,1.0,4.0,0,3.0
2,1,3,6,40.588,2.353,112.418,0.765,2.528,3.0,46.0,1.0,5.0,1,1.0
2,0,3,6,48.544,1.456,133.143,0.468,2.053,3.0,22.33,1.0,3.0,0,1.0
2,0,3,6,83.333,0.0,145.545,0.053,0.179,1.0,33.0,1.0,2.0,0,1.0
2,0,2,6,39.326,0.0,179.575,8.357,89.222,12.0,80.0,1.0,2.0,0,3.0
3,0,3,5,14.058,34.505,123.022,2.841,18.016,10.0,77.0,1.0,2.0,1,3.0
4,0,2,6,56.25,8.333,235.144,5.658,44.979,3.0,34.0,3.0,3.0,0,2.0
2,0,5,6,71.25,8.125,59.586,16.789,27.713,0.1,20.0,1.0,4.0,0,1.0
2,0,5,6,70.677,8.271,96.945,12.302,25.964,0.1,20.0,1.0,5.0,0,2.0
2,0,3,10,38.462,12.821,65.325,4.034,10.814,70.0,15.385,3.0,7.0,0,1.0
2,0,5,6,79.73,4.054,137.092,3.204,23.244,80.0,30.0,3.0,2.0,0,1.0
2,0,3,5,82.143,4.464,103.397,-2.933,-20.051,2.0,13.393,3.0,3.0,0,1.0
2,0,4,6,78.378,8.108,156.734,9.565,50.232,80.0,30.0,3.0,2.0,0,1.0
1,0,3,6,80.769,4.615,114.655,3.19,9.606,15.0,15.0,1.0,7.0,0,1.0
2,0,3,5,56.471,5.882,75.212,2.64,6.052,10.0,40.0,3.0,2.0,0,1.0
2,0,3,5,68.889,11.111,113.393,6.129,18.698,10.0,26.0,3.0,3.0,0,1.0
2,0,4,6,80.0,4.0,193.259,7.505,28.19,60.0,12.0,3.0,4.0,0,1.0
2,0,3,5,61.111,9.259,94.727,5.555,12.888,10.0,26.0,3.0,4.0,0,1.0
2,0,2,5,62.5,0.0,49.201,-1.856,-9.756,0.01,66.0,3.0,1.0,0,4.0
2,0,3,6,60.0,17.5,127.017,10.552,31.144,5.0,32.5,1.0,2.0,0,2.0
2,0,3,6,20.0,30.0,77.988,1.594,3.39,60.0,45.0,1.0,3.0,0,1.0
2,0,3,5,50.0,0.0,374.342,5.975,170.0,5.0,83.0,1.0,2.0,0,1.0
1,0,5,6,58.824,17.647,98.744,18.213,25.37,10.0,14.706,1.0,3.0,0,1.0
2,0,3,6,53.191,14.894,199.247,3.631,18.53,30.0,48.936,1.0,2.0,0,1.0
2,0,5,10,33.333,11.111,374.766,4.988,49.587,6.75,11.111,3.0,3.0,0,1.0
2,0,3,6,75.0,4.167,90.089,3.11,5.982,2.0,25.0,1.0,5.0,0,2.0
2,0,3,6,59.375,5.312,103.331,-3.969,-20.212,0.8,29.0,3.0,1.0,0,1.0
2,0,3,6,81.25,6.25,117.578,2.147,11.883,0.8,30.0,3.0,1.0,0,3.0
1,0,3,5,62.5,0.0,160.586,13.164,28.933,0.0,100.0,1.0,5.0,0,1.0
2,0,3,6,52.83,11.321,61.273,0.481,1.357,5.0,26.415,1.0,2.0,0,1.0
2,0,3,9,72.727,5.455,60.818,0.733,1.946,5.0,40.0,1.0,3.0,0,1.0
2,0,2,6,79.545,0.0,166.009,0.641,5.064,10.0,20.0,3.0,1.0,0,1.0
2,0,5,9,57.143,10.204,66.13,0.398,1.389,5.0,46.0,1.0,3.0,0,1.0
2,0,2,6,76.19,11.905,172.013,0.896,5.536,10.0,14.0,3.0,1.0,0,1.0
4,0,1,1,53.846,38.462,46.291,7.607,14.033,0.1,36.0,1.0,4.0,0,1.0
2,0,5,9,61.818,9.091,107.572,2.7,10.226,5.0,46.0,1.0,2.0,0,1.0
2,0,2,6,75.676,10.811,181.895,1.427,9.585,10.0,20.0,3.0,1.0,0,3.0
1,0,3,6,53.333,20.0,123.394,8.367,35.21,1.0,40.0,1.0,3.0,0,1.0
2,0,3,6,50.0,9.091,90.307,-2.769,-70.077,7.0,22.727,1.0,3.0,0,1.0
3,0,1,10,0.0,83.721,67.349,16.381,15.387,5.0,69.0,3.0,2.0,0,1.0
2,0,3,6,62.567,6.952,80.735,11.418,10.079,10.0,77.0,3.0,2.0,0,1.0
4,0,2,5,29.63,29.63,73.117,1.283,2.954,5.0,55.556,3.0,3.0,0,1.0
2,0,3,6,66.667,0.0,143.823,9.975,39.611,10.0,16.667,1.0,4.0,0,1.0
2,0,3,6,38.462,15.385,81.466,11.925,10.523,1.0,33.077,1.0,3.0,0,4.0
4,0,3,6,76.744,6.977,100.163,-21.583,-1787.5,0.3,22.093,3.0,5.0,0,1.0
2,0,3,6,50.867,2.89,98.379,10.747,22.163,40.0,44.0,3.0,4.0,0,1.0
2,0,3,6,45.522,18.657,108.66,12.726,15.657,10.0,20.0,1.0,3.0,0,1.0
2,0,3,9,62.5,12.5,301.741,3.54,27.664,0.4,40.0,3.0,4.0,0,1.0
