순번,개인법인구분_공통,가중치_공통,(쿼터)업종_공통,(쿼터)종사자_공통,(쿼터)지역_공통,(쿼터)기업성장단계_공통,(쿼터)업력_공통,업력_공통,지역_공통,업종_공통,제조업여부_공통,A14_벤처확인유형_공통,A15_회사주소_시도_공통,A15_회사주소_구군_공통,A16_KSIC코드_공통,A161_1단계업종분류_대_공통,A162_2단계업종분류_중_공통,A163_3단계업종분류_소_공통,A21_창업년도_공통,A22_기업성장단계_공통,A23_제조및비제조_공통,A23_2_아웃소싱_공통,A24_스마티공장도입의향_법인,A25_상장여부_법인,A25_상장년도_법인,A25_상장거래소_법인,B11_대표이사_창업자여부_법인,B12_대표이사_성별_법인,B13_대표이사_연령_법인,B14_대표이사_최종학력_법인,B141_대표이사_전공_법인,B141_대표이사_전공_기타_법인,B15_대표이사_이전근무지_법인,B15_대표이사_이전근무지_기타_법인,B16_대표이사_업무경력분야2_0_법인,B16_대표이사_업무경력분야2_1_법인,B16_대표이사_업무경력분야2_2_법인,B16_대표이사_업무경력분야2_3_법인,B16_대표이사_업무경력분야2_4_법인,B16_대표이사_업무경력분야2_5_법인,B16_대표이사_업무경력분야2_6_법인,B16_대표이사_업무경력분야2_7_법인,B16_대표이사_업무경력분야2_기타_법인,B21_창업자_성별_공통,B22_창업주_창업시연령_공통,B23_창업주_창업시최종학력_공통,B231_창업주_창업시전공_공통,B231_창업주_창업시전공_기타_공통,B24_창업주_이전근무지_공통,B24_창업주_이전근무지_기타_공통,B25_창업주_업무경력분야_0_공통,B25_창업주_업무경력분야_1_공통,B25_창업주_업무경력분야_2_공통,B25_창업주_업무경력분야_3_공통,B25_창업주_업무경력분야_4_공통,B25_창업주_업무경력분야_5_공통,B25_창업주_업무경력분야_6_공통,B25_창업주_업무경력분야_7_공통,B25_창업주_업무경력분야_기타_공통,B261_창업방식형태_공통,B262_창업형태_단독공동_법인,B262_2_멤버수_법인,B2631_창업방식_창업자주요역할_0_공통,B2631_창업방식_창업자주요역할_1_공통,B2631_창업방식_창업자주요역할_2_공통,B2631_창업방식_창업자주요역할_3_공통,B2631_창업방식_창업자주요역할_4_공통,B2631_창업방식_창업자주요역할_기타_공통,B2632_창업방식_공동창업자주요역할_0_법인,B2632_창업방식_공동창업자주요역할_1_법인,B2632_창업방식_공동창업자주요역할_2_법인,B2632_창업방식_공동창업자주요역할_3_법인,B2632_창업방식_공동창업자주요역할_4_법인,B2632_창업방식_공동창업자주요역할_기타_법인,B27_창업시목표시장_법인,B28_창업시관련분야실무경험년수_공통,B29_창업주과거창업경험여부_공통,B291_창업경험및결과_성공_공통,B291_창업경험및결과_실패_공통,B291_창업경험및결과_합계_공통,C11_2017년기준_정규직_남_공통,C11_2017년기준_정규직_여_공통,C11_2017년기준_정규직_합계_공통,C11_2018년기준_정규직_남_공통,C11_2018년기준_정규직_여_공통,C11_2018년기준_정규직_합계_공통,C12_2017년기준_비정규직_남_공통,C12_2017년기준_비정규직_여_공통,C12_2017년기준_비정규직_합계_공통,C12_2018년기준_비정규직_남_공통,C12_2018년기준_비정규직_여_공통,C12_2018년기준_비정규직_합계_공통,C13_2017년기준_총종사자_남_공통,C13_2017년기준_총종사자_여_공통,C13_2017년기준_총종사자_합계_공통,C13_2018년기준_총종사자_남_공통,C13_2018년기준_총종사자_여_공통,C13_2018년기준_총종사자_합계_공통,C2_총종사자수_관리_공통,C2_총종사자수_생산_공통,C2_총종사자수_영업_공통,C2_총종사자수_연구개발(RnD)_공통,C2_총종사자수_기타_공통,C2_총종사자수_합계_공통,C3_학력별인력구성비_고졸이하_법인,C3_학력별인력구성비_전문대졸_법인,C3_학력별인력구성비_대졸_법인,C3_학력별인력구성비_석사_법인,C3_학력별인력구성비_박사_법인,C4_예상신규채용_신규채용의사_공통,C4_예상신규채용_2019년하반기_채용인원_공통,C4_예상신규채용_2020년_채용인원_공통,C4_예상신규채용_채용인원합계_공통,C41_신규채용희망학력_고졸이하_법인,C41_신규채용희망학력_전문대졸_법인,C41_신규채용희망학력_대졸_법인,C41_신규채용희망학력_석사_법인,C41_신규채용희망학력_박사_법인,C41_신규채용희망학력_합계_법인,C42_신규채용계획없는주요이유_법인,C42_신규채용계획없는주요이유_기타_사유_법인,C51_구인하기어려운직무_1순위_법인,C51_구인하기어려운직무_2순위_법인,C51_구인하기어려운직무_기타_법인,C52_구인하기어려운직급_1순위_법인,C52_구인하기어려운직급_2순위_법인,D1_지분_창업자_법인,D1_지분_임직원_법인,D1_지분_가족_법인,D1_지분_벤처캐피털_법인,D1_지분_엔젤및엑셀러레이터_법인,D1_지분_개인투자자_법인,D1_지분_합계_법인,D21_재무상태표_2017년_자산총계_공통,D21_재무상태표_2018년_자산총계_공통,D22_재무상태표_2017년_부채총계_공통,D22_재무상태표_2018년_부채총계_공통,D23_재무상태표_2017년_자본총계_공통,D23_재무상태표_2018년_자본총계_공통,D31_2017년_매출액_공통,D31_2018년_매출액_공통,D32_2017년_영업이익_공통,D32_2018년_영업이익_공통,D33_2017년_금융비용_공통,D33_2018년_금융비용_공통,D34_2017년_당기순이익_공통,D34_2018년_당기순이익_공통,D4_매출_대기업(B2B)_공통,D4_매출_12차벤더(B2B)_공통,D4_매출_중소기업(B2B)_공통,D4_매출(B2C)_공통,D4_매출(B2G)_공통,D4_매출_글로벌_공통,D4_매출_합계_공통,D51_연구개발(RnD)_경험여부_공통,D51_연구개발(RnD)_2018년총금액_공통,D52_융자_경험여부_공통,D52_융자_2018년총금액_공통,D53_보증서지원_경험여부_공통,D53_보증서지원_2018년총금액_공통,D54_기타지원_경험여부_공통,D54_기타지원_2018년총금액_공통,D55_합계_2018년총금액_공통,D5_개인사업자_향후법인전환의사여부_개인,D6_신규자금조달규모_법인,D6_신규자금조달_기업공개(IPO)_법인,D6_신규자금조달_캐피탈_법인,D6_신규자금조달_회사채_법인,D6_신규자금조달_정부지원금_법인,D6_신규자금조달_은행_법인,D6_신규자금조달_기타_법인,D6_신규자금조달_합계_법인,D7_투자액_국내설비_법인,D7_투자액_연구개발(RnD)_법인,D7_투자액_해외_법인,D7_투자액_기타_법인,D7_투자액_합계_법인,D8_스톡옵션상황_법인,D81_스톡옵션_실시주요목적_법인,D82_스톡옵션_활용안하는이유_법인,E1_공통_4차산업혁명과관계여부_공통,E11_분야별주력제품관련성_0_공통,E11_분야별주력제품관련성_1_공통,E11_분야별주력제품관련성_2_공통,E21_등록보유_특허권_공통,E21_등록보유_실용신안권_공통,E21_등록보유_디자인권_공통,E21_등록보유_상표권_공통,E21_등록보유_해외산업재산권_공통,E21_등록보유_합계_공통,E22_출원중_특허권_공통,E22_출원중_실용신안권_공통,E22_출원중_디자인권_공통,E22_출원중_상표권_공통,E22_출원중_해외산업재산권_공통,E22_출원중_합계_공통,E3_획득중인해외특허_0_법인,E3_획득중인해외특허_1_법인,E3_획득중인해외특허_2_법인,E4_제품및서비스구조_법인,E5_세계유일의기술보유여부_법인,E61_기술력수준비교_세계_법인,E62_기술력수준비교_국내_법인,E7_연구개발관련전담부서보유여부_법인,F11_개발역량_법인,F12_제조역량_법인,F13_마케팅역량_법인,F21_경쟁전략초점정도_원가우위수준_법인,F22_경쟁전략초점정도_고부가가치화수준_법인,F31_비즈니스모델혁신정도_명확한정리_법인,F32_비즈니스모델혁신정도_혁신_법인,F4_장기적성장전망성_법인,G1_자체브랜드보유여부_공통,G11_자체브랜드보유개수_공통,G2_영업및마케팅방식_0_공통,G2_영업및마케팅방식_기타_공통,G31_국내시장점유율_법인,G32_글로벌시장점유율_법인,G4_글로벌사업방식_법인,G41_해외지사설치여부_법인,G51_글로벌시장진출지역_0_법인,G51_글로벌시장진출지역_1_법인,G51_글로벌시장진출지역_2_법인,G51_글로벌시장진출지역_3_법인,G51_글로벌시장진출지역_4_법인,G51_글로벌시장진출지역_5_법인,G51_글로벌시장진출지역_6_법인,G51_글로벌시장진출지역_기타_법인,G52_직-간접수출지역_0_법인,G52_직-간접수출지역_1_법인,G52_직-간접수출지역_2_법인,G52_직-간접수출지역_3_법인,G52_직-간접수출지역_4_법인,G52_직-간접수출지역_5_법인,G52_직-간접수출지역_6_법인,G52_직-간접수출지역_기타_법인,G6_해외수출시애로사항_1순위_법인,G6_해외수출시애로사항_2순위_법인,G6_해외수출시애로사항_기타_법인,H1_선호협력기관_메인파트너_1순위_공통,H1_선호협력기관_메인파트너_2순위_공통,H11_협력활동유형_공통,H11_협렵활동도움정도_공통,H11_협력활동유형_기타_공통,H12_협력활동유형_공통,H12_협렵활동도움정도_공통,H12_협력활동유형_기타_공통,H13_협력활동유형_공통,H13_협렵활동도움정도_공통,H13_협력활동유형_기타_공통,H14_협력활동유형_공통,H14_협렵활동도움정도_공통,H14_협력활동유형_기타_공통,H15_협력활동유형_공통,H15_협렵활동도움정도_공통,H15_협력활동유형_기타_공통,H21_협력의사_공통,H21_협력희망분야_공통,H21_협력희망분야_기타_공통,H22_협력의사_공통,H22_협력희망분야_공통,H22_협력희망분야_기타_공통,H23_협력의사_공통,H23_협력희망분야_공통,H23_협력희망분야_기타_공통,H24_협력의사_공통,H24_협력희망분야_공통,H24_협력희망분야_기타_공통,H25_협력의사_공통,H25_협력희망분야_공통,H25_협력희망분야_기타_공통,I1_크라우드펀딩받은경험_법인,I2_엔젤투자자투자받은경험_법인,I3_밴처캐피탈투자받은경험_법인,I31_투자한벤처캐피탈역할_법인,I321_도움여부_법인,I321_도움정도_법인,I322_도움여부_법인,I322_도움정도_법인,I323_도움여부_법인,I323_도움정도_법인,I324_도움여부_법인,I324_도움정도_법인,I325_도움여부_법인,I325_도움정도_법인,I326_도움여부_법인,I326_도움정도_법인,I327_도움여부_법인,I327_도움정도_법인,I4_인수합병의향_법인,I5_인수합병응할의향_법인,I6_인수합병(MnA)환경개선을위해필요한것_1순위_법인,I6_인수합병(MnA)환경개선을위해필요한것_2순위_법인,J11_납품단가_법인,J11_단가변동폭_법인,J12_납품단가_법인,J12_단가변동폭_법인,J13_납품단가_법인,J13_단가변동폭_법인,J14_납품단가_법인,J14_단가변동폭_법인,J21_현재이익률_법인,J21_희망적정이익률_법인,J22_현재이익률_법인,J22_희망적정이익률_법인,J23_현재이익률_법인,J23_희망적정이익률_법인,J24_현재이익률_법인,J24_희망적정이익률_법인,J31_불공정거래경험여부_법인,J31_불공정거래심각성정도_법인,J32_불공정거래경험여부_법인,J32_불공정거래심각성정도_법인,J33_불공정거래경험여부_법인,J33_불공정거래심각성정도_법인,J34_불공정거래경험여부_법인,J34_불공정거래심각성정도_법인,J4_기업간거래시주요애로사항_1순위_법인,J4_기업간거래시주요애로사항_2순위_법인,K11_기술개발촉진효과_공통,K12_기업이미지제고등광고효과_공통,K13_세제혜택효과_공통,K14_우수인력확보에유리_공통,K15_입지선정시유리_공통,K16_자금조달및투자유인효과_공통,K17_정부지원제도참여에유리_공통,K18_창업관련규제완화효과_공통,K21_인수합병(MnA)활성화를위한제도개선_공통,K22_벤처관련규제완화_공통,K23_창업및기업가적능력개발을위한교육_공통,K24_기업가정신을고취하는사회분위기_공통,K25_벤처투자활성화_법인_공통,K31_실천하고있는사회적책임_0_법인,K31_실천하고있는사회적책임_1_법인,K31_실천하고있는사회적책임_기타_법인,K32_향후사회적책임실천할계획여부_법인,K41_신기술개발애로_공통,K42_개발된기술의사업화애로_공통,K43_국내판로개척애로_공통,K44_해외시장개척애로_공통,K45_필요인력의확보및유지관리애로_공통,K46_자금조달_운용등자금관리애로_공통,K47_기술유출_디자인및상표도용애로_공통,K48_업계내의과당경쟁및덤핑애로_공통,K49_법률회계세무관련지식부족애로_공통,K410_조직관리애로_공통,K411_환율변동애로_공통,K412_특허분쟁애로_공통,K413_각종규제애로_공통,K414_산-학-연간협력활동애로_공통,K415_불공정한시장질서애로_공통
755,법인,46.091,5,1,1,3,2,9,31,25113,1,2,경기,안양시,C25113,C,25,251,2010,3,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,1,,6,,4,,,,,,,,,3,2,2,2,,,,,,2,,,,,,1,12,2,,,,5,2,7,6,2,8,0,0,0,0,0,0,5,2,7,6,2,8,2,1,1,2,2,8,0,13,75,13,0,2,,,,,,,,,,1,,6,5,,2,1,100,0,0,0,0,0,100,1406,1291,838,445,568,846,4690,4122,166,306,20,16,147,278,0,0,35,0,65,0,100,2,,2,,2,,2,,,,,,,,,,,,0,133,0,0,133,4,,2,2,,,,16,0,4,0,0,20,1,0,0,0,0,1,3,,,3,2,5,5,3,3,3,3,3,3,3,3,3,2,,1,,1,0,4,,,,,,,,,,,,,,,,,,2,7,,3,4,,,,,,,6,3,,4,3,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,5,,,,,2,,,,,,,,16,30,,,,,,,,,,,4,6,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,,1,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3
756,법인,22.612,3,2,1,3,2,9,31,26299,1,4,경기,성남시 중원구,C26299,C,26,262,2010,3,2,50,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,1,,6,,5,,,,,,,,,3,2,3,1,,,,,,1,,,,,,1,15,2,,,,11,4,15,11,4,15,0,0,0,0,0,0,11,4,15,11,4,15,8,1,3,3,0,15,10,10,80,0,0,1,2,3,5,2,0,3,0,0,5,,,5,3,,2,1,40,60,0,0,0,0,100,1415,1441,924,879,492,563,2007,2311,42,43,29,34,137,71,0,0,65,30,0,5,100,2,,2,,2,,2,,,,,,,,,,,,0,115,0,0,115,4,,4,1,1,12,,1,0,1,4,0,6,1,0,0,0,0,1,3,,,3,2,3,3,2,4,4,3,4,3,4,3,4,1,30,3,,5,1,1,2,,,,,,,,,5,,,,,,,,8,2,,1,3,2,4,,,,,4,4,,,,,,,,1,2,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,5,,,,,2,,3,10,,,,,30,40,10,30,,,,,,,,,2,11,1,1,4,3,3,4,4,4,3,3,3,3,3,7,,,1,4,4,3,4,3,5,4,4,3,3,2,2,2,2,3
757,법인,3.294,7,5,1,4,2,8,31,58221,2,2,경기,성남시 분당구,J58221,J,58,582,2011,4,1,,2,1,2011,2,1,,,,,,,,,,,,,,,,,1,3,3,3,,6,,3,,,,,,,,,3,1,,3,,,,,,,,,,,,1,3,2,,,,272,48,320,287,47,334,50,11,61,37,11,48,322,59,381,324,58,382,32,62,0,277,11,382,0,10,87,2,1,1,0,2,2,0,0,2,0,0,2,,,2,1,,1,2,4,0,0,5,24,67,100,127626,148301,36753,46763,90873,101538,67235,66605,8092,10560,966,1347,8649,10805,65,10,10,0,10,5,100,2,,1,1600,2,,2,,1600,,21200,0,0,85,8,7,0,100,0,8361,0,0,8361,3,2,,1,11,13,15,96,0,0,0,0,96,0,0,0,0,0,0,3,,,3,1,1,1,2,3,4,3,3,3,4,4,3,2,,3,,10,1,1,1,5,,,,,,,,5,,,,,,,,5,7,,1,,10,4,,,,,,,,,,,,,,1,11,,2,,,2,,,2,,,2,,,2,1,1,1,,,,,,,,,,,,,,,2,2,1,3,2,,2,,2,,2,,18,20,18,20,18,20,18,20,,,,,1,3,,,1,4,3,4,4,3,3,3,4,3,4,4,3,3,3,2,5,,2,3,4,4,3,3,4,4,4,3,3,4,5,4,5,4
758,법인,9.188,9,3,1,3,2,8,31,73909,2,4,경기,성남시 분당구,M73909,M,73,739,2011,3,4,,2,2,,,1,,,,,,,,,,,,,,,,,1,4,1,1,,5,,3,,,,,,,,,3,1,,3,,,,,,,,,,,,3,7,2,,,,39,3,42,39,3,42,0,0,0,0,0,0,39,3,42,39,3,42,34,5,0,0,3,42,0,13,70,10,7,1,2,3,5,0,0,5,0,0,5,,,5,1,,3,2,0,4,0,0,45,51,100,9188,12833,8686,5317,502,7515,44,678,-2749,-3215,23,215,-2738,-2106,30,30,40,0,0,0,100,2,,2,,1,4200,2,,4200,,4200,0,0,0,100,0,0,100,0,811,0,0,811,4,,1,1,4,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,2,2,3,3,2,4,4,4,4,3,3,3,4,1,1,3,,1,0,4,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,1,2,,,,,,,,,,,,,,,,2,2,3,1,2,,2,,2,,,,16,20,16,20,16,20,,,1,5,,,,,,,1,6,3,3,4,3,3,4,3,4,3,4,3,4,3,5,,,2,3,3,3,3,4,4,3,3,3,3,4,3,3,4,3
759,법인,43.545,9,1,1,2,2,8,23,71393,2,1,인천,연수구,M71393,M,71,713,2011,2,4,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,3,1,,6,,5,,,,,,,,,3,1,,3,,,,,,,,,,,,1,2,2,,,,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,100,0,0,1,1,1,2,0,0,2,0,0,2,,,6,2,,1,2,100,0,0,0,0,0,100,1918,1935,1444,1451,473,484,2292,1917,42,54,32,37,-6,11,0,0,100,0,0,0,100,2,,2,,2,,2,,,,211,0,0,0,0,100,0,100,10,0,0,0,10,4,,1,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,,,1,2,3,3,5,3,3,3,3,3,3,3,3,2,,1,,5,0,4,,,,,,,,,,,,,,,,,,2,3,,3,,,,,,,,8,3,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,4,,,,,2,,,,,,,,20,22,,,,,,,,,,,7,9,4,4,3,3,4,3,3,3,3,3,3,3,3,7,,,1,4,4,3,3,3,4,3,4,4,3,3,3,3,3,3
760,법인,46.091,5,1,1,4,2,8,31,29221,1,2,경기,성남시,C29221,C,29,292,2011,4,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,2,4,1,,7,,5,6,,,,,,,,3,1,,1,,,,,,,,,,,,1,10,2,,,,3,2,5,3,2,5,0,0,0,0,0,0,3,2,5,3,2,5,1,2,0,2,0,5,0,80,20,0,0,1,1,1,2,0,1,1,0,0,2,,,6,5,,1,2,100,0,0,0,0,0,100,309,410,407,658,-98,-248,314,198,-154,-146,2,3,-157,-150,40,0,40,0,0,20,100,2,,2,,2,,2,,,,,,,,,,,,0,34,0,0,34,4,,2,2,,,,1,1,0,0,0,2,1,0,1,0,0,2,3,,,1,1,3,4,3,4,2,1,4,5,3,4,5,2,,1,,30,30,1,2,,,,,,,,,3,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,1,11,,1,3,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,5,2,,,,2,,2,,20,25,,,30,30,10,15,1,5,,,1,3,,,2,11,2,4,3,3,3,3,3,3,1,3,4,2,2,5,,,1,3,4,4,4,4,4,3,3,3,3,4,2,2,3,3
761,법인,16.974,4,1,1,2,2,8,31,26529,1,2,경기,성남시 중원구,C26529,C,26,265,2011,2,1,,2,4,,,1,,,,,,,,,,,,,,,,,1,3,2,1,,5,,5,6,4,,,,,,,3,1,,1,,,,,,,,,,,,3,8,2,,,,4,1,5,3,1,4,0,0,0,0,0,0,4,1,5,3,1,4,3,1,0,0,0,4,0,0,100,0,0,1,0,1,1,0,0,1,0,0,1,,,5,4,,2,1,54,0,0,0,0,46,100,1297,618,683,864,614,-246,381,90,12,-854,12,10,2,-860,0,0,100,0,0,0,100,2,,2,,1,220,2,,220,,220,0,0,0,100,0,0,100,0,79,0,0,79,4,,1,2,,,,2,1,3,4,4,14,0,0,0,0,0,0,2,,,3,1,2,2,2,4,4,2,3,4,4,4,4,1,2,3,,0,0,4,,,,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,1,1,1,,,,,,,,,,,,,,,1,1,5,3,,,,,2,,,,,,,,25,25,,,,,,,,,,,2,6,3,3,3,3,3,3,3,3,2,2,3,3,2,7,,,1,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4
762,법인,18.1,10,1,1,3,2,7,11,42491,2,2,서울,서초구,F42491,F,42,424,2012,3,3,,2,4,,,1,,,,,,,,,,,,,,,,,1,4,3,3,,6,,4,,,,,,,,,3,1,,2,,,,,,,,,,,,1,14,2,,,,5,1,6,4,1,5,0,0,0,0,0,0,5,1,6,4,1,5,0,1,1,0,3,5,20,0,80,0,0,1,0,1,1,0,0,1,0,0,1,,,4,3,,2,1,100,0,0,0,0,0,100,725,822,122,216,603,606,572,417,30,9,1,6,29,3,80,0,20,0,0,0,100,2,,1,200,2,,2,,200,,200,0,0,0,100,0,0,100,50,0,0,0,50,4,,1,2,,,,3,0,0,0,0,3,1,0,0,0,0,1,3,,,2,2,2,1,5,5,3,3,5,3,5,5,5,1,1,3,,10,0,4,,,,,,,,,,,,,,,,,,3,2,,2,4,,,,9,4,,,,,6,3,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,1,2,3,2,,,,2,,,,15,15,,,15,15,,,,,,,,,,,9,11,3,3,4,3,3,4,3,3,3,3,3,4,3,7,,,1,4,4,5,4,4,5,4,5,4,4,3,4,5,4,4
763,법인,19.643,1,2,1,2,2,7,31,27212,1,1,경기,성남시 수정구,C27212,C,27,272,2012,2,2,60,2,3,,,1,,,,,,,,,,,,,,,,,1,4,2,1,,7,,5,,,,,,,,,3,1,,1,,,,,,,,,,,,3,20,1,0,2,2,10,1,11,12,0,12,0,0,0,0,1,1,10,1,11,12,1,13,6,3,1,0,3,13,15,15,46,24,0,1,3,3,6,0,1,5,0,0,6,,,5,6,,1,2,80,3,4,10,0,3,100,2291,2306,1287,1317,1004,989,3441,635,86,-505,18,24,246,-115,0,60,0,0,40,0,100,1,300,1,150,1,195,1,50,695,,800,0,0,0,87,13,0,100,0,474,0,400,874,3,3,,1,1,12,14,1,0,0,2,0,3,3,0,0,0,0,3,3,,,2,2,2,1,2,5,4,4,5,5,5,4,5,1,3,3,,20,0,4,,,,,,,,,,,,,,,,,,4,2,,1,4,3,4,,,,,,,,4,5,,,,,1,2,,1,11,,1,9,,1,6,,1,12,,2,2,1,1,,,,,,,,,,,,,,,2,2,3,4,,,2,,,,,,,,5,10,,,,,,,,,,,,,2,4,5,3,5,3,3,4,5,3,2,2,2,3,3,5,,,1,5,5,5,5,5,5,4,4,3,4,3,2,3,3,3
764,법인,46.091,5,1,1,3,2,7,31,25113,1,2,경기,남양주시,C25113,C,25,251,2012,3,1,,1,3,,,1,,,,,,,,,,,,,,,,,1,1,3,1,,6,,4,5,6,,,,,,,3,1,,3,,,,,,,,,,,,1,3,2,,,,5,0,5,9,0,9,0,0,0,0,0,0,5,0,5,9,0,9,1,4,0,2,2,9,0,30,70,0,0,1,2,3,5,0,3,2,0,0,5,,,6,5,,2,1,100,0,0,0,0,0,100,1474,2106,989,1154,485,952,1457,3227,61,495,31,28,35,467,10,20,70,0,0,0,100,2,,2,,2,,2,,,,,,,,,,,,2000,59,0,0,2059,3,4,,2,,,,7,1,11,0,0,19,2,1,3,0,0,6,3,,,3,2,5,4,4,3,3,4,4,3,3,2,5,2,,3,,8,0,4,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,1,1,2,3,2,,2,,2,,,,14,25,14,25,15,25,,,,,,,,,,,9,2,2,3,4,3,3,3,3,3,2,3,1,2,1,1,2,,1,5,3,4,5,5,4,5,3,4,4,3,3,3,3,4
765,법인,17.724,2,1,1,3,2,5,31,27199,1,1,경기,성남시 중원구,C27199,C,27,271,2014,3,2,30,1,3,,,1,,,,,,,,,,,,,,,,,2,3,3,4,,6,,4,,,,,,,,,3,1,,1,,,,,,,,,,,,3,15,2,,,,2,3,5,3,4,7,0,0,0,0,0,0,2,3,5,3,4,7,2,2,0,2,1,7,30,30,40,0,0,1,1,2,3,0,1,2,0,0,3,,,4,6,,1,2,60,20,0,0,0,20,100,340,435,238,298,102,137,347,531,48,23,4,9,44,31,0,0,70,25,0,5,100,2,,1,100,1,140,1,50,290,,440,0,0,0,66,34,0,100,45,102,0,0,147,3,3,,1,8,19,,0,2,2,2,0,6,2,0,0,0,1,3,3,,,3,2,3,2,3,5,5,5,5,5,5,5,4,1,5,2,,30,5,1,2,,,,,,,,,3,5,6,,,,,,7,4,,1,3,10,3,,,,,3,3,,,,,,,,1,11,,1,11,,2,,,2,,,2,,,2,2,2,,,,,,,,,,,,,,,,2,2,3,6,,,,,2,,2,,,,,,60,70,60,70,,,,,,,,,9,7,3,3,4,1,1,2,3,1,1,1,1,1,1,1,4,,1,5,5,4,5,4,5,3,3,5,4,4,1,5,5,3
766,개인,37.276,6,1,1,4,4,28,23,28511,1,2,인천,계양구,C28511,C,28,285,1991,4,3,,,,,,,,,,,,,,,,,,,,,,,1,2,3,5,디자인,6,,5,,,,,,,,,3,,,3,,,,,,,,,,,,,0,2,,,,5,4,9,4,5,9,0,0,0,0,0,0,5,4,9,4,5,9,1,3,2,2,1,9,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2858,2080,3279,1664,-421,415,8063,11383,333,312,81,61,317,313,0,80,0,0,0,20,100,2,,2,,2,,2,,,1,,,,,,,,,,,,,,,,,2,,,,19,31,0,16,0,66,1,0,0,1,0,2,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,3,3,,12,3,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,4,3,,,,,2,3,3,3,2,3,2,3,3,2,4,2,3,3,2
767,개인,9.22,5,2,1,4,3,20,31,25913,1,2,경기,화성시,C25913,C,25,259,1999,4,2,30,,,,,,,,,,,,,,,,,,,,,,1,3,4,1,,6,,5,,,,,,,,,1,,,1,,,,,,,,,,,,,25,2,,,,9,1,10,9,1,10,0,4,4,0,0,0,9,5,14,9,1,10,2,2,0,5,1,10,,,,,,1,0,2,2,,,,,,,,,,,,,,,,,,,,,4369,4536,3850,3896,519,639,3628,3467,254,271,132,146,125,125,0,80,10,0,0,10,100,2,,2,,2,,2,,,1,,,,,,,,,,,,,,,,,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,10,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,2,2,3,3,2,2,2,,,,,3,4,4,4,3,4,3,3,3,3,3,4,4,4,4
768,개인,9.22,5,2,1,4,3,19,31,25924,1,2,경기,부천시 오정구,C25924,C,25,259,2000,4,1,,,,,,,,,,,,,,,,,,,,,,,1,4,5,,,6,,1,2,3,4,6,,,,,3,,,1,2,,,,,,,,,,,,7,2,,,,3,2,5,5,2,7,0,2,2,2,4,6,3,4,7,7,6,13,0,2,4,5,2,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,597,769,224,341,373,428,896,775,91,30,5,3,73,59,0,5,95,0,0,0,100,2,,2,,1,200,2,,200,2,,,,,,,,,,,,,,,,,1,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,,,,,9,5,,2,5,,,,,2,,,2,,,1,6,,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,3,3,3,3,3,4,4,4,,,,,4,4,5,5,4,4,3,5,4,4,3,3,3,3,4
