회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
(주)한국토지신탁,034830,2022/12,49.37,8.09
(주)한국특강,007280,2022/12,0,0
(주)한국화장품제조,003350,2022/12,8.99,16
(주)한농화성,011500,2022/12,21.41,23.47
(주)한독,002390,2022/12,30.87,80
(주)한미글로벌건축사사무소,053690,2022/12,38.91,102.11
(주)한샘,009240,2022/12,0,0
(주)한섬,020000,2022/12,13.17,133.8
(주)한솔케미칼,014680,2022/12,18.9,40.31
(주)한솔홈데코,025750,2022/12,0,0
(주)한익스프레스,014130,2022/12,60.01,25.57
(주)한진,002320,2022/12,71.34,11.62
(주)한진중공업홀딩스,003480,2022/12,52.59,1.68
(주)한진칼,180640,2022/12,3.01,6.79
(주)한창,005110,2022/12,0,0
(주)한창제지,009460,2022/12,94.65,4
(주)한컴라이프케어,372910,2022/12,0,0
(주)한화,000880,2022/12,25.73,15.06
(주)현대리바트,079430,2022/12,0,0
(주)현대미포조선,010620,2022/12,0,0
(주)현대백화점,069960,2022/12,17.66,24.28
(주)현대지에프홀딩스,005440,2022/12,23.4,37.53
(주)현대퓨처넷,126560,2022/12,0,17.99
(주)현대홈쇼핑,057050,2022/12,44.08,49.61
(주)형지엘리트,093240,2022/06,0,0
(주)혜인,003010,2022/12,0,10.15
(주)호텔신라,008770,2022/12,0,3.8
(주)화승알앤에이,378850,2022/12,7.49,10
(주)화승엔터프라이즈,241590,2022/12,25.32,9
(주)화승인더스트리,006060,2022/12,42.01,34.06
(주)화승코퍼레이션,013520,2022/12,31.4,8.87
(주)화신,010690,2022/12,7.7,18.86
(주)화인베스틸,133820,2022/12,0,0
(주)황금에스티,032560,2022/12,15.13,39.97
(주)효성,004800,2022/12,624.82,85.04
(주)후성,093370,2022/12,3.37,4
(주)휠라홀딩스,081660,2022/12,33.51,73.75
(주)휴니드테크놀러지스,005870,2022/12,0,0
(주)휴비스,079980,2022/12,0,0
(주)휴스틸,005010,2022/12,30.16,35
AJ네트웍스(주),095570,2022/12,0,25.82
CS홀딩스(주),000590,2022/12,19.62,9.67
DB금융투자(주),016610,2022/12,503.88,3.27
DB손해보험(주),005830,2022/12,28.17,780.23
HD현대(주),267250,2022/12,119.23,321.09
KG스틸(주),016380,2022/12,2.85,2.7
KISCO홀딩스(주),001940,2022/12,71.25,44.99
LG이노텍(주),011070,2022/12,13.63,82.99
LS일렉트릭(주),010120,2022/12,47.9,21.53
OCI(주),010060,2022/12,44.9,46.27
SK이노베이션(주),096770,2022/12,110.15,106.54
SNT다이내믹스(주),003570,2022/12,34.34,9.15
SNT모티브(주),064960,2022/12,14.53,18.09
STX엔진(주),077970,2022/12,0,0
STX중공업(주),071970,2022/12,0,0
가온전선(주),000500,2022/12,2.21,0.49
강남제비스코(주),000860,2022/12,0,50
경인전자(주),009140,2022/12,10.96,5.8
계룡건설산업(주),013580,2022/12,7.61,9.92
계양전기(주),012200,2022/12,0,5.04
고려산업(주),002140,2022/12,33.28,2.47
고려아연(주),010130,2022/12,60.54,400
고려제강(주),002240,2022/12,15.29,29.99
광동제약(주),009290,2022/12,17.3,7.84
광전자(주),017900,2022/12,18.66,8.69
교보증권(주),030610,2022/12,7.32,1.01
교촌에프앤비(주),339770,2022/12,189.01,39.72
국도화학(주),007690,2022/12,11.99,26.38
국제약품(주),002720,2022/12,0,0
그랜드코리아레저(주),114090,2022/12,0,0
그린케미칼(주),083420,2022/12,121.9,29.16
극동유화(주),014530,2022/12,38.27,38.62
금강공업(주),014280,2022/12,12.44,11.03
금호건설(주),002990,2022/12,75.7,9.72
금호석유화학(주),011780,2022/12,25.46,87.45
금호전기(주),001210,2022/12,0,0
금호타이어(주),073240,2022/12,0,0
기신정기(주),092440,2022/03,58.46,30
기아(주),000270,2022/12,71.83,65.59
깨끗한나라(주),004540,2022/12,0,0
남광토건(주),001260,2022/12,0,0
남양유업(주),003920,2022/12,0,19.28
남해화학(주),025860,2022/12,10.14,9.65
네이버(주),035420,2022/12,0,0
넥센타이어(주),002350,2022/12,0,19.04
넷마블(주),251270,2022/12,0,0
다스코(주),058730,2022/12,0,0
다올투자증권(주),030210,2022/12,17.46,2.11
대덕전자(주),353200,2022/12,11.57,80.04
대동전자(주),008110,2022/03,23.12,38.94
대림비앤코(주),005750,2022/12,0,11
대림통상(주),006570,2022/12,26.03,2.75
대상(주),001680,2022/12,34.02,80.04
대상홀딩스(주),084690,2022/12,41.78,27.02
대성산업(주),128820,2022/12,0,0
대성에너지(주),117580,2022/12,557.6,24.72
대성홀딩스(주),016710,2022/12,10.14,25
대신증권(주),003540,2022/12,92.62,18.42
대영포장(주),014160,2022/12,0,0
대우전자부품(주),009320,2022/12,0,0
대우조선해양(주),042660,2022/12,0,0
대원강업(주),000430,2022/12,58.46,20
