,가중치,벤처확인 유형,회사주소_시(도),회사주소_구(군),한국표준산업분류(KSIC)코드_10차,창업년도,기업성장단계,제조 및 비제조,상장여부 및 향후계획,대표이사_창업자여부,대표이사_이전근무지,창업자 성별,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 당시 창업자 전공,창업 직전 근무지,창업방식,단독창업 여부,창업자 역할,창업 당시 목표시장,창업 당시 창업자 실무경험 년수(년),창업자 과거창업 경험 여부,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),현재 구인하기 어려운 직무(1순위),현재 구인하기 어려운 직무(2순위),현재 구인하기 어려운 직급(1순위),현재 구인하기 어려운 직급(2순위),지분구조(퍼센트)_창업자,지분구조(퍼센트)_임직원,지분구조(퍼센트)_가족,지분구조(퍼센트)_벤처캐피털 및 기관투자자,지분구조(퍼센트)_엔젤 및 액셀러레이터,지분구조(퍼센트)_개인투자자,연구개발(RnD)자금(출연금)_경험여부,융자(정책자금)_경험여부,보증서지원_경험여부,기타지원_경험여부,경쟁사 대비 현황_개발역량,경쟁사 대비 현황_제조역량,경쟁사 대비 현황_마케팅역량,경쟁전략초점_원가우위 수준,경쟁전략초점_제품 고부가가치화 수준,비즈니스 모델_명확한 정리정도,비즈니스 모델_혁신정도,주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),해외수출 및 진출과정 애로사항(1순위),해외수출 및 진출과정 애로사항(2순위),크라우드 펀딩 경험여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,벤처캐피털(투자조합포함) 투자 경험여부,인수합병의향,인수합병응할의향,인수합병 환경개선을 위한 필요사항(1순위),인수합병 환경개선을 위한 필요사항(2순위),기업간 거래시 애로사항(1순위),벤처확인제도 혜택_기술개발 촉진효과,벤처확인제도 혜택_기업 이미지 제고 등 광고효과,벤처확인제도 혜택_세제혜택 효과,벤처확인제도 혜택_우수인력 확보에 유리,벤처확인제도 혜택_입지 선정 시 유리,벤처확인제도 혜택_자금조달 및 투자 유인효과,벤처확인제도 혜택_정부지원제도 참여에 유리,벤처확인제도 혜택_창업 관련 규제 완화 효과,현재 벤처인프라 수준_인수합병(MnA) 활성화를 위한 제도개선,현재 벤처인프라 수준_벤처관련 규제완화,현재 벤처인프라 수준_창업 및 기업가적 능력개발을 위한 교육,현재 벤처인프라 수준_기업가정신을 고취하는 사회분위기,현재 벤처인프라 수준_벤처투자 활성화,경영상 애로사항_신기술 개발,경영상 애로사항_개발된 기술의 사업화,경영상 애로사항_국내 판로개척,경영상 애로사항_해외시장 개척,경영상 애로사항_필요인력의 확보 및 유지관리,경영상 애로사항_자금조달_운용 등 자금관리,경영상 애로사항_기술유출 및 디자인_상표 도용,경영상 애로사항_업계내의 과당경쟁 및 덤핑,경영상 애로사항_법률_회계_세무 관련 지식부족,경영상 애로사항_조직관리,경영상 애로사항_환율변동,경영상 애로사항_특허분쟁,경영상 애로사항_각종규제,경영상 애로사항_산-학-연 간 협력활동,경영상 애로사항_불공정한 시장질서,매출규모,정규직합계,비정규직합계,총종사자합계,인력구성(관리),인력구성(생산),인력구성(영업),인력구성(RnD),인력구성(기타),인수합병(MnA) 경험여부,피인수합병 경험여부,인력구성(합계),학력별 인력구성_합계,매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액(국내설비),투자액(R&D),투자액(해외),투자액(기타),투자액(합계),스톡옵션상황,등록보유(특허권),등록보유(실용신안권),등록보유(디자인권),등록보유(상표권),등록보유(해외산업재산권),등록보유(합계),출원중(특허권),출원중(실용신안권),출원중(디자인권),출원중(상표권),출원중(해외산업재산권),출원중(합계),제품및서비스구조,세계유일기술보유여부,기술력수준비교(세계),기술력수준비교(국내),연구개발관련전담부서보유여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,글로벌사업방식,향후사회적책임실천할계획여부,실천하고있는사회적책임,부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,4차산업혁명과관계여부
5247,5.681,2,인천,서구,J62021,2013,3,4,4.0,2.0,,1,4,3,1.0,6,3,1.0,3,3.0,12.0,1,5.0,10.0,82.5,2.5,0.0,5.0,3.0,1.0,3.0,0.0,90.0,0.0,0.0,0.0,10.0,2,2,2,2,4.0,4.0,3.0,4.0,3.0,3.0,3.0,7.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,3.0,40.0,0.0,40.0,7.0,0.0,8.0,7.0,18.0,2.0,2.0,40.0,40.0,3.0,0.0,13.0,3.0,81.0,0.0,0.0,616.0,0.0,0.0,616.0,4.0,1,0,3,5,0,9,2,0,0,1,0,3,2.0,2.0,3.0,3.0,2.0,4.0,1,3,4.0,,2.0,192.472,34.191,-16.275,85.165,249.084,-40.539,-13.335,-894.521,12242.5,1
5248,4.96,2,서울,서초구,J62021,2002,3,2,4.0,1.0,5.0,1,3,2,1.0,5,3,1.0,3,1.0,11.0,1,0.0,3.225806451612903,93.54838709677419,1.6129032258064515,1.6129032258064515,5.0,6.0,2.0,3.0,66.0,34.0,0.0,0.0,0.0,0.0,2,2,2,2,4.0,4.0,3.0,3.0,4.0,4.0,3.0,60.0,60.0,3.0,8.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,3.0,3,5,5,3,1,2,2,2,3,3,3,3,3,3,4,4,3,4,2,2,2,1,2,2,1,1,1,1,6.0,65.0,0.0,65.0,7.0,36.0,15.0,4.0,0.0,2.0,2.0,62.0,62.0,28.0,0.0,42.0,0.0,20.0,0.0,20,842,0.0,0,862,4.0,13,0,0,0,0,13,2,0,0,0,0,2,3.0,2.0,3.0,2.0,2.0,4.0,2,1,4.0,1.0,0.0,102.046,49.494,4.107,152.029,307.169,12.616,1.93,411.765,33486.154,2
5249,8.676,2,대전,유성구,J62021,2001,3,4,4.0,1.0,3.0,1,3,2,1.0,3,3,1.0,3,3.0,11.0,2,0.0,0.0,90.2439024390244,9.75609756097561,0.0,5.0,3.0,3.0,2.0,72.0,0.0,0.0,0.0,0.0,28.0,1,2,2,2,4.0,4.0,3.0,4.0,4.0,3.0,3.0,12.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,14.0,4,3,3,3,3,4,4,3,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3.0,41.0,0.0,41.0,4.0,28.0,0.0,9.0,0.0,2.0,2.0,41.0,41.0,90.0,0.0,0.0,0.0,10.0,0.0,0,877,0.0,0,877,4.0,2,1,0,1,0,4,0,0,0,0,0,0,2.0,2.0,3.0,2.0,2.0,4.0,1,1,4.0,1.0,3.0,177.444,36.043,2.126,49.497,137.325,2.92,5.485,195.604,7914.634,2
5250,6.43,2,인천,서구,J62021,2010,5,4,4.0,2.0,,2,5,5,,7,3,1.0,3,1.0,0.0,2,12.195121951219512,12.195121951219512,73.17073170731707,2.4390243902439024,0.0,5.0,4.0,2.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,2,2,2,2,4.0,3.0,3.0,4.0,4.0,2.0,2.0,80.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3,2,3,2,3,2,2,2,2,3,2,2,2,4,4,4,5,5,5,4,3,3,4,3,3,3,3,3,5.0,26.0,3.0,29.0,4.0,0.0,2.0,31.0,4.0,2.0,2.0,41.0,41.0,0.0,0.0,85.0,0.0,15.0,0.0,0,830,0.0,65,895,4.0,12,0,0,4,0,16,2,0,0,0,0,2,2.0,2.0,3.0,2.0,2.0,4.0,1,1,4.0,1.0,0.0,12.006,89.281,11.28,162.326,181.815,20.51,11.0,inf,19686.207,1
5251,1.707,2,서울,구로구,J62021,2003,4,4,4.0,1.0,5.0,1,3,2,1.0,5,1,1.0,3,3.0,0.0,2,0.0,26.666666666666668,66.66666666666666,5.555555555555555,1.1111111111111112,5.0,3.0,2.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,0.01,6.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,11.0,4,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,7.0,90.0,0.0,90.0,13.0,0.0,3.0,9.0,65.0,2.0,2.0,90.0,90.0,9.0,0.0,73.0,0.0,0.0,0.0,88,160,0.0,0,248,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.0,4.0,3.0,2.0,3.0,2,1,4.0,1.0,0.0,53.188,65.279,3.374,243.923,373.66,12.607,3.374,4957.143,22855.556,1
5252,6.43,2,경기,안양시,J62021,2017,2,4,4.0,1.0,6.0,1,3,3,1.0,6,3,1.0,2,1.0,26.0,2,14.814814814814813,11.11111111111111,66.66666666666666,3.7037037037037033,3.7037037037037033,4.0,5.0,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,3.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,14.0,2,3,4,2,2,3,3,4,3,2,3,3,3,3,4,5,2,3,2,3,4,2,2,3,2,3,3,3,5.0,28.0,0.0,28.0,10.0,0.0,2.0,0.0,15.0,2.0,2.0,27.0,27.0,0.0,0.0,100.0,0.0,0.0,0.0,341,476,0.0,0,817,4.0,1,0,0,0,0,1,0,0,0,0,0,0,3.0,2.0,3.0,2.0,2.0,4.0,2,1,4.0,1.0,0.0,117.04,46.074,8.885,248.812,540.022,47.982,8.636,20800.0,17203.571,2
5253,20.75,2,서울,영등포구,J62021,2013,2,4,4.0,1.0,6.0,1,3,3,1.0,6,2,1.0,1,1.0,12.0,2,42.857142857142854,28.57142857142857,28.57142857142857,0.0,0.0,5.0,4.0,3.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2,2,2,1,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,14.0,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,3,2,3,2,3,2,3,2,1,2,3,2,3,2.0,8.0,0.0,8.0,1.0,0.0,1.0,5.0,0.0,2.0,2.0,7.0,7.0,15.0,15.0,30.0,0.0,25.0,15.0,0.0,521.0,0.0,0.0,521.0,4.0,0,0,0,4,0,4,0,0,0,0,0,0,3.0,2.0,3.0,3.0,2.0,4.0,1,3,3.0,1.0,0.0,135.193,42.518,3.073,40.429,95.086,2.922,-28.212,-918.182,8950.0,2
5254,4.96,2,울산,중구,J62021,2009,3,4,4.0,1.0,6.0,1,2,2,1.0,6,3,1.0,2,1.0,8.0,2,10.416666666666668,35.41666666666667,37.5,12.5,4.166666666666666,5.0,8.0,1.0,2.0,60.0,20.0,20.0,0.0,0.0,0.0,1,2,2,2,3.0,2.0,4.0,2.0,2.0,3.0,3.0,15.0,0.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,14.0,2,3,4,3,3,4,3,3,2,3,2,3,3,3,4,4,2,3,4,2,2,2,3,2,3,4,3,2,6.0,43.0,0.0,43.0,8.0,0.0,6.0,4.0,30.0,2.0,2.0,48.0,48.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,250.0,4.0,3,0,0,0,0,3,0,0,0,0,0,0,3.0,2.0,4.0,4.0,2.0,4.0,2,1,4.0,2.0,0.0,48.397,67.387,12.802,171.9,255.095,32.658,17.022,12966.667,37202.326,2
5255,1.34,2,경기,성남시,J62021,2009,3,4,4.0,2.0,,1,3,1,1.0,5,1,1.0,1,1.0,18.0,2,26.77165354330709,16.141732283464567,42.125984251968504,10.236220472440944,4.724409448818897,5.0,4.0,1.0,2.0,34.0,21.0,0.0,19.0,0.0,26.0,1,2,1,2,4.0,5.0,4.0,4.0,4.0,4.0,3.0,70.0,0.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,14.0,4,4,4,3,2,4,3,3,3,4,3,4,3,4,3,3,2,3,3,2,3,2,2,1,2,1,2,3,8.0,194.0,0.0,194.0,87.0,0.0,18.0,27.0,122.0,2.0,2.0,254.0,254.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,616.0,0.0,0.0,616.0,3.0,3,0,0,0,0,3,0,0,0,0,0,0,1.0,2.0,5.0,4.0,2.0,2.0,2,3,4.0,,0.0,87.402,53.365,7.282,419.473,786.044,57.239,7.699,29400.0,29525.258,2
5256,28.803,2,대전,서구,J62021,2001,3,4,4.0,1.0,6.0,1,1,2,1.0,6,3,1.0,3,3.0,0.0,2,0.0,0.0,82.35294117647058,17.647058823529413,0.0,5.0,4.0,2.0,3.0,75.0,0.0,0.0,0.0,0.0,25.0,2,2,2,2,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,4,5,3,3,3,3,3,3,4,3,3,2.0,17.0,0.0,17.0,1.0,0.0,3.0,0.0,13.0,2.0,2.0,17.0,17.0,10.0,44.0,44.0,0.0,0.0,2.0,24.0,7249.0,0.0,0.0,7273.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,3.0,4.0,2.0,4.0,2,3,1.0,1.0,0.0,45.506,68.726,2.864,104.421,151.939,4.352,0.498,88.889,9447.059,1
