주력제품 해외 시장점유율(퍼센트),주력제품 국내 시장점유율(퍼센트),매출구조비율(중소기업),매출구조비율(글로벌),총자산회전율,자기자본비율,부채비율,순이익률,등록보유(특허권),창업 당시 창업자 최종학력,창업 당시 목표시장,기업성장단계,해외수출 및 진출과정 애로사항,Exit
0.0,0.1,0.0,0.0,50.0,8.333,1100.0,-9.444,0,3,2,2,3,0
0.0,5.0,100.0,0.0,95.462,37.95,163.505,4.18,0,5,1,2,4,0
0.0,10.0,20.0,0.0,226.941,15.868,530.214,-8.832,1,3,1,3,7,0
0.0,5.0,0.0,21.0,135.511,8.156,1126.02,-2.21,1,3,1,3,3,0
0.0,0.1,100.0,0.0,68.579,24.62,306.18,0.267,0,3,1,2,1,0
0.0,5.0,0.0,0.0,63.426,33.997,194.143,6.249,3,3,3,2,1,0
0.0,0.8,100.0,0.0,33.053,23.81,320.0,17.797,0,5,3,2,3,0
0.01,0.06,55.0,0.0,115.139,32.683,205.973,2.9,3,3,1,4,3,1
0.0,0.1,60.0,0.0,116.437,20.122,396.962,1.546,1,2,1,2,4,0
30.0,10.0,30.0,30.0,95.985,40.966,144.107,12.052,2,3,3,2,3,0
0.01,0.6,0.0,10.0,105.55,32.469,207.987,4.029,1,2,3,3,1,1
0.01,0.5,90.0,10.0,51.518,39.279,154.589,6.63,2,3,3,2,3,0
0.01,0.5,0.0,10.0,90.081,27.558,262.866,10.115,5,2,3,2,1,1
0.0,0.01,100.0,0.0,102.55,23.729,321.432,-3.016,1,3,1,4,1,0
0.01,0.1,45.0,55.0,96.943,29.877,234.702,1.513,4,3,1,4,2,0
0.01,0.5,90.0,10.0,80.851,44.874,122.845,5.981,2,3,3,2,1,0
0.0,0.01,100.0,0.0,95.196,26.661,275.086,0.408,1,3,1,4,2,0
0.01,0.1,45.0,55.0,85.162,28.287,253.516,0.9,3,3,1,4,3,0
0.0,5.0,100.0,0.0,73.911,27.944,257.792,5.046,3,2,1,2,1,0
0.0,0.1,20.0,0.0,117.878,24.276,311.938,7.508,4,3,3,3,2,0
0.0,0.01,40.0,0.0,60.081,20.046,398.844,5.063,4,3,3,3,4,0
0.0,0.01,40.0,0.0,70.492,20.793,380.92,5.025,4,3,3,3,4,0
0.0,5.0,35.0,0.0,128.455,17.462,472.659,0.35,0,3,3,3,2,0
0.01,10.0,58.0,0.0,39.244,97.162,2.921,20.195,0,2,3,4,3,1
0.01,18.0,33.0,5.0,164.637,16.745,497.203,-5.531,1,3,1,4,3,0
0.01,18.0,33.0,5.0,156.669,24.687,305.067,-4.151,1,3,1,4,3,0
0.0,18.0,38.0,0.0,206.004,33.717,196.583,0.038,0,3,1,4,3,0
0.01,20.0,0.0,1.0,189.582,22.987,335.029,0.988,2,3,1,4,2,0
0.0,1.0,0.0,0.0,390.122,26.94,271.2,0.865,2,3,3,2,1,0
0.0,10.0,100.0,0.0,101.884,18.505,440.395,2.921,3,3,1,4,7,0
0.0,3.0,50.0,0.0,135.796,35.986,177.883,5.33,3,5,1,3,3,0
0.01,2.0,85.0,6.0,103.719,32.755,205.294,3.322,10,3,1,3,5,0
0.0,5.0,0.0,0.0,45.064,66.114,51.255,7.001,6,5,3,3,7,0
0.01,5.0,0.0,5.0,22.9,45.318,120.664,-48.575,7,5,3,3,2,0
0.0,5.0,100.0,0.0,88.692,25.071,298.861,1.288,0,2,3,3,1,0
0.0,41.0,90.0,0.0,96.125,30.74,225.312,4.145,7,3,1,3,7,0
0.0,5.0,0.0,0.0,41.792,70.896,41.052,1.591,6,5,3,3,3,0
0.0,10.0,50.0,0.0,103.757,24.238,312.58,0.047,1,5,3,4,2,0
0.0,5.0,0.0,0.0,31.775,62.539,59.899,-22.068,6,5,3,3,7,0
0.0,10.0,50.0,0.0,120.403,28.221,254.35,0.949,1,5,3,4,2,0
0.0,0.01,100.0,0.0,135.884,17.98,456.175,1.111,0,3,1,3,2,0
0.0,10.0,50.0,0.0,115.778,16.561,503.826,2.777,1,5,3,4,2,0
0.0,41.0,90.0,0.0,96.534,32.434,208.315,2.971,7,3,1,3,8,0
0.0,5.0,100.0,0.0,92.089,27.305,266.234,3.169,7,1,3,3,3,1
0.0,5.0,100.0,0.0,215.512,33.453,198.924,1.615,7,1,3,3,7,1
0.0,5.0,50.0,0.0,105.815,22.757,339.431,2.112,6,1,3,3,3,0
0.0,2.0,95.0,5.0,112.82,28.992,244.927,13.834,1,3,1,3,4,0
0.0,3.0,40.0,0.0,203.712,41.485,141.053,2.667,0,3,1,3,5,0
0.0,5.0,0.0,0.0,25.109,17.075,485.657,6.746,2,4,1,2,4,0
0.0,5.0,50.0,0.0,79.716,14.593,585.246,2.315,3,4,1,3,3,0
0.0,2.0,30.0,0.0,112.377,38.215,161.68,1.535,0,5,1,4,4,0
0.0,3.0,40.0,0.0,112.418,34.011,194.022,0.765,0,3,1,3,5,0
0.0,3.0,10.0,0.0,133.143,30.37,229.269,0.468,1,3,1,3,3,0
0.0,3.0,40.0,0.0,235.144,29.58,238.067,5.658,0,2,3,2,3,0
0.0,0.1,0.0,0.0,59.586,36.098,177.024,16.789,0,5,1,4,4,0
0.0,0.1,0.0,0.0,96.945,45.933,117.71,12.302,0,5,1,4,5,0
0.0,70.0,67.0,1.0,65.325,24.366,310.407,4.034,1,3,3,2,7,0
5.0,80.0,30.0,30.0,137.092,18.898,429.149,3.204,3,5,3,3,2,0
0.2,2.0,0.0,50.0,103.397,15.123,561.231,-2.933,4,3,3,4,3,0
5.0,80.0,40.0,30.0,156.734,29.844,235.076,9.565,4,4,3,3,2,0
