iter	Passed	Remaining
752	4428	1452
753	4433	1446
754	4439	1440
755	4444	1434
756	4450	1428
757	4455	1422
758	4461	1416
759	4466	1410
760	4472	1404
761	4477	1398
762	4482	1392
763	4488	1386
764	4494	1380
765	4500	1374
766	4506	1368
767	4511	1362
768	4516	1356
769	4522	1350
770	4527	1344
771	4532	1338
772	4538	1332
773	4543	1326
774	4549	1320
775	4554	1314
776	4559	1308
777	4565	1302
778	4570	1296
779	4576	1290
780	4581	1284
781	4587	1278
782	4592	1272
783	4598	1266
784	4604	1261
785	4610	1255
786	4616	1249
787	4622	1243
788	4627	1237
789	4633	1231
790	4639	1225
791	4644	1219
792	4650	1213
793	4655	1207
794	4660	1201
795	4666	1195
796	4672	1189
797	4677	1183
798	4682	1177
799	4688	1172
800	4693	1166
801	4699	1160
802	4704	1154
803	4710	1148
804	4716	1142
805	4721	1136
806	4727	1130
807	4733	1124
808	4738	1118
809	4743	1112
810	4749	1106
811	4754	1100
812	4760	1094
813	4765	1088
814	4770	1082
815	4776	1077
816	4782	1071
817	4787	1065
818	4793	1059
819	4799	1053
820	4805	1047
821	4811	1041
822	4817	1036
823	4823	1030
824	4829	1024
825	4836	1018
826	4841	1012
827	4847	1006
828	4852	1001
829	4858	995
830	4863	989
831	4869	983
832	4875	977
833	4882	971
834	4888	965
835	4894	960
836	4900	954
837	4906	948
838	4913	942
839	4919	937
840	4925	931
841	4932	925
842	4938	919
843	4945	914
844	4951	908
845	4957	902
846	4963	896
847	4968	890
848	4974	884
849	4979	878
850	4984	872
851	4990	866
852	4996	860
853	5001	855
854	5006	849
855	5012	843
856	5018	837
857	5024	831
858	5029	825
859	5034	819
860	5040	813
861	5045	807
862	5051	801
863	5056	795
864	5061	790
865	5067	784
866	5073	778
867	5079	772
868	5084	766
869	5090	760
870	5095	754
871	5101	748
872	5106	742
873	5111	736
874	5117	731
875	5123	725
876	5128	719
877	5134	713
878	5140	707
879	5145	701
880	5151	695
881	5157	689
882	5162	684
883	5168	678
884	5174	672
885	5180	666
886	5187	660
887	5192	654
888	5199	649
889	5205	643
890	5211	637
891	5216	631
892	5222	625
893	5228	619
894	5235	614
895	5241	608
896	5246	602
897	5252	596
898	5258	590
899	5264	584
900	5270	579
901	5276	573
902	5281	567
903	5288	561
904	5293	555
905	5298	549
906	5305	543
907	5311	538
908	5317	532
909	5323	526
910	5328	520
911	5334	514
912	5340	508
913	5346	503
914	5352	497
915	5358	491
916	5363	485
917	5369	479
918	5375	473
919	5380	467
920	5386	462
921	5392	456
922	5398	450
923	5403	444
924	5409	438
925	5415	432
926	5421	426
927	5427	421
928	5433	415
929	5439	409
930	5445	403
931	5451	397
932	5458	391
933	5464	386
934	5470	380
935	5476	374
936	5482	368
937	5488	362
938	5494	356
939	5499	351
940	5505	345
941	5511	339
942	5518	333
943	5524	327
944	5530	321
945	5537	316
946	5543	310
947	5549	304
948	5556	298
949	5562	292
950	5567	286
951	5574	281
952	5580	275
953	5587	269
954	5593	263
955	5599	257
956	5606	251
957	5612	246
958	5618	240
959	5624	234
960	5629	228
961	5635	222
962	5641	216
963	5647	210
964	5653	205
965	5659	199
966	5666	193
967	5672	187
968	5679	181
969	5685	175
970	5691	169
971	5697	164
972	5703	158
973	5710	152
974	5717	146
975	5723	140
976	5729	134
977	5735	129
978	5742	123
979	5748	117
980	5753	111
981	5759	105
982	5764	99
983	5770	93
984	5776	87
985	5781	82
986	5787	76
987	5792	70
988	5799	64
989	5804	58
990	5809	52
991	5816	46
992	5821	41
993	5827	35
994	5833	29
995	5839	23
996	5845	17
997	5850	11
998	5856	5
999	5862	0
