회사주소_시(도),한국표준산업분류(KSIC)코드_10차,상장여부,인수합병(MnA) 경험여부,가중치,벤처확인 유형,기업성장단계,제조 및 비제조,대표이사_창업자여부,창업 당시 창업자 연령,창업 당시 창업자 최종학력,창업 직전 근무지,창업방식,단독창업 여부,창업 당시 목표시장,창업자 과거창업 경험 여부,융자(정책)_경험여부,장기적성장전망성,자체브랜드보유여부,영업및마케팅방식,전공과 업종 일치 여부,연구개발관련전담부서보유여부,엔젤투자자 혹은 액셀러레이터 투자 경험여부,해외수출 및 진출과정 애로사항,제품및서비스구조,기술력수준비교(세계),기술력수준비교(국내),주력제품 국내 시장점유율(퍼센트),주력제품 해외 시장점유율(퍼센트),정규직비율,학력별 인력구성비(고졸이하),학력별 인력구성비(전문대졸),학력별 인력구성비(대졸),학력별 인력구성비(석사),학력별 인력구성비(박사),부서별_인력구성(관리),부서별_인력구성(생산),부서별_인력구성(영업),부서별_인력구성(RnD),매출구조비율(대기업),매출구조비율(12차벤더),매출구조비율(중소기업),매출구조비율(B2C),매출구조비율(B2G),매출구조비율(글로벌),투자액비(국내설비),투자액비(RnD),투자액비(해외),투자액비(기타),부채비율,자기자본비율,순이익률,총자산회전율,자기자본회전율,ROE,영업이익률,이자보상배율,종사자생산성,창업 당시 창업자 실무경험 년수(년),벤처확인제도 혜택(평균),벤처인프라 수준(평균),등록보유(합계),출원중(합계),경영상 애로사항(개수),벤처캐피털(투자조합포함) 투자 경험여부
충북,A01140,2,2.0,3.484,1,3,1,1.0,2,3,6,3,1.0,3.0,2,2.0,2.0,2,1,1.0,1.0,2,8.0,2.0,4.0,4.0,1.0,0.0,1.0,60.0,25.0,15.0,0.0,0.0,10.0,65.0,15.0,10.0,0.0,0.0,52.0,0.0,35.0,0.0,18.69443478260869,81.01569565217392,40.549,0.2898695652173913,142.988,41.154,1.646,59.732,145.142,2.39,0.76,46.667,27635.0,13.0,4.5,3.0,2,1,10,0
경기,A01159,2,2.0,6.839,1,2,2,1.0,3,3,5,3,1.0,3.0,2,2.0,4.0,1,4,2.0,1.0,2,8.0,2.0,2.0,2.0,0.1,0.0,1.0,0.0,50.0,50.0,0.0,0.0,25.0,50.0,0.0,25.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,204.977,32.789,5.911,30.119,91.855,5.43,5.419,366.667,5075.0,15.0,4.167,3.5,2,1,10,0
충남,A01231,2,3.0,1.727,2,3,4,1.0,3,2,3,3,1.0,1.0,2,2.0,4.0,2,3,1.0,1.0,2,6.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,20.0,70.0,10.0,0.0,5.455,52.727,7.273,34.545,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,239.387,29.465,4.652,93.771,318.248,14.805,8.49,427.304,53621.818,3.0,3.5,3.75,0,0,3,0
경기,A01299,2,2.0,2.684,1,3,1,1.0,2,5,6,3,1.0,3.0,2,2.0,4.0,1,3,2.0,1.0,2,7.0,3.0,2.0,2.0,15.0,0.0,1.0,70.0,20.0,10.0,0.0,0.0,10.0,60.0,20.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,120.141,45.425,11.654,107.383,236.394,27.55,15.352,695.5,90610.0,10.0,3.833,2.75,0,0,9,0
충남,A01420,2,2.0,1.98,1,3,4,1.0,3,3,7,3,1.0,1.0,2,2.0,4.0,1,3,2.0,1.0,2,6.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,20.833333333333336,41.66666666666667,29.166666666666668,8.333333333333332,16.667,0.0,8.333,75.0,40.0,0.0,20.0,0.0,0.0,10.0,0.0,100.0,0.0,0.0,279.6,26.344,2.911,204.868,777.68,22.64,3.246,297.642,74776.923,12.0,3.333,2.75,0,0,0,0
전북,A01420,2,3.0,18.1,3,1,4,1.0,2,3,6,3,1.0,1.0,2,2.0,4.0,2,1,2.0,1.0,2,3.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,33.333,0.0,0.0,0.0,0.0,0.0,93.0,7.0,0.0,0.0,42.355,57.645,0.0,0.0,154.815,39.244,1.559,130.523,332.593,5.185,1.782,147600.0,14966.667,0.0,3.167,3.25,19,2,4,0
경기,A01420,2,2.0,1.925,1,3,4,1.0,3,3,6,3,1.0,3.0,2,2.0,3.0,1,1,1.0,3.0,2,2.0,1.0,3.0,3.0,1.0,0.0,1.0,56.66666666666666,26.666666666666668,16.666666666666664,0.0,0.0,6.667,0.0,16.667,10.0,0.0,0.0,80.0,0.0,0.0,20.0,43.931,56.069,0.0,0.0,551.683,15.345,0.515,844.633,5504.327,28.365,0.69,385.366,76326.667,12.0,4.333,3.0,0,0,9,0
충남,A01420,2,2.0,1.832,1,3,4,1.0,5,3,10,3,1.0,3.0,2,2.0,4.0,2,3,2.0,1.0,2,7.0,3.0,4.0,4.0,5.0,0.01,1.0,66.66666666666666,20.0,13.333333333333334,0.0,0.0,20.0,0.0,16.667,10.0,0.0,0.0,0.0,100.0,0.0,0.0,18.69443478260869,81.01569565217392,40.549,0.2898695652173913,279.6,26.344,2.911,204.868,777.68,22.64,3.246,297.642,64806.667,3.0,4.167,2.75,0,0,9,0
대전,A01420,2,2.0,14.36,3,2,4,1.0,2,3,5,3,1.0,1.0,2,2.0,4.0,2,1,2.0,1.0,2,2.0,3.0,2.0,2.0,2.0,0.0,0.95,0.0,28.8135593220339,64.40677966101694,5.084745762711865,1.694915254237288,50.847,0.0,13.559,16.949,30.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,103.229,49.206,-38.305,30.241,61.458,-23.542,-233.729,-5516.0,2950.0,5.0,3.833,2.75,0,0,1,1
제주,A03212,2,2.0,10.42,2,3,2,1.0,5,1,6,2,1.0,1.0,2,2.0,3.0,1,1,1.0,2.0,2,7.0,3.0,3.0,3.0,0.1,0.3,1.0,0.0,25.0,50.0,0.0,25.0,25.0,25.0,0.0,50.0,0.0,0.0,5.0,5.0,0.0,90.0,45.263,54.737,0.0,0.0,601.359,14.253,144.796,8.559,60.054,86.957,-165.158,-1140.625,3683.333,24.0,3.167,3.25,18,0,4,0
