iter	Passed	Remaining
662	4013	2039
663	4019	2033
664	4025	2027
665	4031	2021
666	4036	2015
667	4043	2009
668	4049	2003
669	4055	1997
670	4061	1991
671	4066	1985
672	4073	1979
673	4078	1972
674	4085	1966
675	4091	1960
676	4096	1954
677	4102	1948
678	4109	1942
679	4114	1936
680	4120	1930
681	4126	1924
682	4132	1918
683	4139	1912
684	4145	1906
685	4150	1899
686	4156	1893
687	4162	1887
688	4168	1881
689	4174	1875
690	4180	1869
691	4186	1863
692	4192	1857
693	4198	1851
694	4205	1845
695	4211	1839
696	4217	1833
697	4223	1827
698	4229	1821
699	4235	1815
700	4241	1809
701	4248	1803
702	4255	1797
703	4261	1791
704	4267	1785
705	4274	1779
706	4280	1773
707	4286	1768
708	4293	1762
709	4299	1756
710	4305	1750
711	4311	1744
712	4318	1738
713	4324	1732
714	4330	1726
715	4336	1720
716	4343	1714
717	4349	1708
718	4355	1702
719	4361	1696
720	4367	1690
721	4373	1684
722	4379	1678
723	4385	1671
724	4391	1665
725	4397	1659
726	4404	1653
727	4410	1647
728	4416	1641
729	4423	1635
730	4429	1630
731	4435	1624
732	4442	1618
733	4449	1612
734	4456	1606
735	4463	1600
736	4469	1594
737	4475	1589
738	4482	1583
739	4489	1577
740	4495	1571
741	4502	1565
742	4508	1559
743	4515	1553
744	4521	1547
745	4529	1542
746	4535	1535
747	4541	1530
748	4548	1524
749	4555	1518
750	4561	1512
751	4567	1506
752	4574	1500
753	4580	1494
754	4587	1488
755	4594	1482
756	4600	1476
757	4605	1470
758	4611	1464
759	4617	1458
760	4623	1451
761	4628	1445
762	4634	1439
763	4640	1433
764	4645	1427
765	4651	1421
766	4658	1415
767	4663	1408
768	4670	1403
769	4676	1396
770	4682	1390
771	4688	1384
772	4695	1378
773	4701	1372
774	4707	1366
775	4713	1360
776	4719	1354
777	4726	1348
778	4732	1342
779	4738	1336
780	4744	1330
781	4750	1324
782	4757	1318
783	4763	1312
784	4770	1306
785	4776	1300
786	4782	1294
787	4788	1288
788	4794	1282
789	4800	1276
790	4806	1270
791	4813	1264
792	4819	1258
793	4825	1251
794	4831	1245
795	4837	1239
796	4843	1233
797	4849	1227
798	4855	1221
799	4861	1215
800	4867	1209
801	4872	1203
802	4878	1196
803	4884	1190
804	4890	1184
805	4896	1178
806	4901	1172
807	4907	1166
808	4913	1160
809	4919	1153
810	4924	1147
811	4930	1141
812	4936	1135
813	4942	1129
814	4949	1123
815	4955	1117
816	4961	1111
817	4966	1105
818	4972	1098
819	4978	1092
820	4984	1086
821	4990	1080
822	4996	1074
823	5001	1068
824	5007	1062
825	5013	1056
826	5019	1049
827	5024	1043
828	5030	1037
829	5037	1031
830	5043	1025
831	5049	1019
832	5055	1013
833	5061	1007
834	5068	1001
835	5073	995
836	5079	989
837	5085	983
838	5091	976
839	5097	970
840	5102	964
841	5109	958
842	5114	952
843	5120	946
844	5126	940
845	5132	934
846	5139	928
847	5145	922
848	5151	916
849	5157	910
850	5163	904
851	5168	897
852	5175	891
853	5181	885
854	5186	879
855	5192	873
856	5198	867
857	5204	861
858	5210	855
859	5216	849
860	5222	843
861	5228	836
862	5233	830
863	5239	824
864	5245	818
865	5251	812
866	5258	806
867	5264	800
868	5270	794
869	5275	788
870	5281	782
871	5287	776
872	5293	770
873	5299	763
874	5305	757
875	5310	751
876	5316	745
877	5322	739
878	5328	733
879	5334	727
880	5340	721
881	5345	715
882	5352	709
883	5357	703
884	5363	696
885	5370	690
886	5376	684
887	5382	678
888	5389	672
889	5395	666
890	5401	660
891	5407	654
892	5413	648
893	5420	642
894	5426	636
895	5432	630
896	5438	624
897	5443	618
898	5450	612
899	5456	606
900	5463	600
901	5469	594
902	5475	588
903	5481	582
904	5487	576
905	5493	569
906	5499	563
907	5506	557
908	5512	551
909	5518	545
910	5524	539
911	5531	533
912	5536	527
913	5542	521
914	5548	515
915	5554	509
916	5561	503
917	5567	497
918	5573	491
919	5580	485
920	5586	479
921	5592	473
922	5598	467
923	5604	460
924	5611	454
925	5617	448
926	5623	442
927	5629	436
928	5635	430
929	5641	424
930	5647	418
931	5653	412
932	5659	406
933	5665	400
934	5672	394
935	5677	388
936	5684	382
937	5689	376
938	5695	370
939	5701	363
940	5707	357
941	5713	351
942	5720	345
943	5726	339
944	5732	333
945	5738	327
946	5743	321
947	5750	315
948	5755	309
949	5761	303
950	5768	297
951	5774	291
952	5780	285
953	5786	279
954	5792	272
955	5798	266
956	5804	260
957	5809	254
958	5816	248
959	5821	242
960	5827	236
961	5833	230
962	5839	224
963	5845	218
964	5852	212
965	5858	206
966	5864	200
967	5870	194
968	5877	188
969	5882	181
970	5888	175
971	5894	169
972	5900	163
973	5906	157
974	5912	151
975	5918	145
976	5924	139
977	5930	133
978	5936	127
979	5942	121
980	5948	115
981	5954	109
982	5961	103
983	5967	97
984	5973	90
985	5979	84
986	5985	78
987	5992	72
988	5998	66
989	6004	60
990	6010	54
991	6016	48
992	6022	42
993	6029	36
994	6035	30
995	6042	24
996	6048	18
997	6054	12
998	6060	6
999	6066	0
